DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE.

Gehomogeniseerde reeks van maandtemperaturen van De Bilt (1901-heden)
Homogenized monthly temperature time series of De Bilt (1901-present)
version 1, February 2007 (for research purposes only)

Er zijn correcties aangebracht voor de volgende inhomogeniteiten:
1 - verplaatsing gecombineerd met veranderind van hut (september 1950) /
              relocation combined with a transition of the hut (September 1950).
2 - verplaatsing van de Stevenson hut (augustus 1951) /
              relocation of the Stevenson screen (August 1951).
3 - verlaging van de Stevenson hut van 2.2 m naar 1.5 m (juni 1961) /
              lowering of Stevenson screen from 2.2 m to 1.5 m (June 1961).
4 - overgang van de kunstmatig geventileerde Stevenson hut naar KNMI schotelhut(juni 1993) /
           transition of artificial ventilated Stevenson screen to KNMI round-plated screen  
5 - temperatuurstijging van 0.11°C per eeuw door stadswarmte /
           warming trend of 0.11°C per century caused by urban warming

STN      = station number /  (260=De Bilt) 
YYYYMMDD = datum / date (YYYY=year MM=month DD=day)
TG_hom   = Gehomogeniseerde maandtemperaturen (Celsius) / Homogenized monthly temperature (Celsius)
260 19070630   13.373
260 19070731   13.567
260 19070831   14.912
260 19070930    13.63
260 19071031   11.467
260 19071130     5.83
260 19071231    3.264
260 19080131    -1.27
260 19080228    3.811
260 19080331    3.432
260 19080430    5.801
260 19080531   13.102
260 19080630   16.016
260 19080731   16.353
260 19080831   14.943
260 19080930   13.522
260 19081031   10.091
260 19081130    4.539
260 19081231    1.246
260 19090131     .725
260 19090228     .749
260 19090331    2.837
260 19090430    8.263
260 19090531   11.307
260 19090630   12.925
260 19090731   14.497
260 19090831   15.916
260 19090930   13.045
260 19091031   11.274
260 19091130    4.545
260 19091231     3.29
260 19100131    3.421
260 19100228     4.18
260 19100331    5.062
260 19100430    7.545
260 19100531   12.619
260 19100630    16.09
260 19100731   14.934
260 19100831   15.776
260 19100930   13.297
260 19101031   10.515
260 19101130     3.46
260 19101231    5.789
260 19110131    1.046
260 19110228    3.671
260 19110331    5.006
260 19110430    6.848
260 19110531   13.982
260 19110630   14.426
260 19110731   18.236
260 19110831   19.072
260 19110930   14.346
260 19111031    9.678
260 19111130    5.912
260 19111231    5.262
260 19120131    1.845
260 19120228    4.148
260 19120331    7.334
260 19120430    8.437
260 19120531   11.678
260 19120630   14.838
260 19120731   18.061
260 19120831   13.796
260 19120930   10.618
260 19121031    8.097
260 19121130    5.508
260 19121231    5.558
260 19130131    2.182
260 19130228    3.576
260 19130331    6.878
260 19130430    8.362
260 19130531   12.671
260 19130630   13.993
260 19130731    14.47
260 19130831   14.966
260 19130930   13.744
260 19131031   11.128
260 19131130     8.41
260 19131231    4.276
260 19140131     -.18
260 19140228    5.775
260 19140331    5.864
260 19140430    9.784
260 19140531   11.531
260 19140630   13.949
260 19140731   17.501
260 19140831   17.059
260 19140930   13.586
260 19141031   10.188
260 19141130    5.156
260 19141231    5.085
260 19150131    3.086
260 19150228     3.26
260 19150331    3.989
260 19150430    7.187
260 19150531   12.362
260 19150630   15.338
260 19150731   15.209
260 19150831   15.264
260 19150930   12.948
260 19151031    7.735
260 19151130    2.878
260 19151231    5.355
260 19160131    5.834
260 19160228    2.847
260 19160331    4.252
260 19160430    8.445
260 19160531   13.019
260 19160630    11.91
260 19160731    14.97
260 19160831   16.073
260 19160930   13.217
260 19161031   10.486
260 19161130    5.877
260 19161231    2.686
260 19170131    -.784
260 19170228   -1.364
260 19170331     1.79
260 19170430    4.291
260 19170531   14.657
260 19170630   18.006
260 19170731   16.375
260 19170831   15.881
260 19170930   14.506
260 19171031    8.227
260 19171130    7.306
260 19171231     .075
260 19180131    2.696
260 19180228    4.167
260 19180331    4.414
260 19180430    7.967
260 19180531   13.865
260 19180630   13.155
260 19180731   15.809
260 19180831   15.577
260 19180930   13.011
260 19181031    9.426
260 19181130    4.321
260 19181231    5.935
260 19190131    1.782
260 19190228     .395
260 19190331    3.988
260 19190430    5.996
260 19190531   13.712
260 19190630   14.114
260 19190731   13.521
260 19190831   15.631
260 19190930   14.257
260 19191031    7.179
260 19191130      1.8
260 19191231    3.754
260 19200131    4.042
260 19200228    5.495
260 19200331    7.161
260 19200430    8.974
260 19200531   12.827
260 19200630   15.459
260 19200731   15.839
260 19200831   13.794
260 19200930   13.083
260 19201031    8.336
260 19201130    3.173
260 19201231    2.191
260 19210131    6.041
260 19210228    3.196
260 19210331    6.511
260 19210430    8.493
260 19210531   13.365
260 19210630   14.468
260 19210731   17.777
260 19210831   16.583
260 19210930   13.865
260 19211031   12.906
260 19211130    1.265
260 19211231    3.332
260 19220131     .217
260 19220228    1.788
260 19220331    4.017
260 19220430    5.749
260 19220531   13.303
260 19220630    14.85
260 19220731   14.782
260 19220831   14.498
260 19220930   12.447
260 19221031    6.631
260 19221130     4.94
260 19221231    4.699
260 19230131    3.874
260 19230228    3.112
260 19230331    6.357
260 19230430    7.501
260 19230531   10.295
260 19230630   11.289
260 19230731    18.52
260 19230831   15.446
260 19230930   12.866
260 19231031   10.846
260 19231130    2.926
260 19231231     .478
260 19240131    -.049
260 19240228     .487
260 19240331    3.156
260 19240430    6.293
260 19240531   13.236
260 19240630   14.608
260 19240731    15.97
260 19240831   14.015
260 19240930   13.855
260 19241031   10.793
260 19241130    4.961
260 19241231     3.89
260 19250131    3.695
260 19250228     4.87
260 19250331    3.423
260 19250430    7.759
260 19250531   13.754
260 19250630   14.864
260 19250731   18.034
260 19250831   15.963
260 19250930    11.66
260 19251031    9.982
260 19251130    2.774
260 19251231    1.447
260 19260131    2.065
260 19260228    6.398
260 19260331     5.69
260 19260430    9.714
260 19260531   10.614
260 19260630   13.566
260 19260731   17.417
260 19260831   16.191
260 19260930   15.256
260 19261031    8.152
260 19261130    6.689
260 19261231    2.968
260 19270131    3.725
260 19270228    2.925
260 19270331    6.392
260 19270430    7.453
260 19270531   11.358
260 19270630   12.878
260 19270731   16.735
260 19270831   16.502
260 19270930   13.968
260 19271031   10.599
260 19271130    4.095
260 19271231   -1.155
260 19280131    3.456
260 19280228    4.924
260 19280331    4.316
260 19280430    8.006
260 19280531   10.815
260 19280630    13.65
260 19280731   16.795
260 19280831   15.724
260 19280930     12.6
260 19281031    9.989
260 19281130     7.67
260 19281231    2.376
260 19290131   -1.506
260 19290228   -5.306
260 19290331    3.448
260 19290430    5.135
260 19290531   12.617
260 19290630   13.479
260 19290731   16.781
260 19290831   15.839
260 19290930   15.896
260 19291031   10.349
260 19291130    6.123
260 19291231    5.259
260 19300131    4.592
260 19300228    1.693
260 19300331    4.679
260 19300430    8.537
260 19300531   11.665
260 19300630   17.455
260 19300731   15.819
260 19300831   16.206
260 19300930   13.902
260 19301031   10.428
260 19301130    7.282
260 19301231    2.306
260 19310131    2.427
260 19310228    1.331
260 19310331    2.223
260 19310430    6.932
260 19310531   13.512
260 19310630   14.927
260 19310731   16.195
260 19310831   15.405
260 19310930    11.42
260 19311031    9.056
260 19311130     6.67
260 19311231     3.35
260 19320131      3.9
260 19320228    1.654
260 19320331    2.967
260 19320430    6.928
260 19320531   12.159
260 19320630   14.603
260 19320731   17.104
260 19320831   18.565
260 19320930   14.656
260 19321031    9.413
260 19321130    5.479
260 19321231    3.578
260 19330131    -.062
260 19330228    2.869
260 19330331    6.653
260 19330430    8.113
260 19330531   12.058
260 19330630   15.168
260 19330731   17.764
260 19330831   17.018
260 19330930   14.688
260 19331031    10.09
260 19331130    3.938
260 19331231   -2.062
260 19340131    2.098
260 19340228    3.464
260 19340331    4.665
260 19340430    9.989
260 19340531   12.025
260 19340630   15.547
260 19340731   17.285
260 19340831   15.869
260 19340930   15.864
260 19341031   11.447
260 19341130    5.414
260 19341231    7.269
260 19350131    2.751
260 19350228    4.438
260 19350331    4.786
260 19350430    7.518
260 19350531   10.956
260 19350630   16.166
260 19350731   17.303
260 19350831   16.784
260 19350930   14.009
260 19351031    9.858
260 19351130    7.103
260 19351231    2.671
260 19360131    4.554
260 19360228    2.284
260 19360331    6.346
260 19360430     5.83
260 19360531     12.9
260 19360630   16.142
260 19360731    16.06
260 19360831   16.483
260 19360930   13.952
260 19361031    8.864
260 19361130    5.205
260 19361231    3.335
260 19370131    2.462
260 19370228    4.903
260 19370331     3.21
260 19370430    8.446
260 19370531   14.125
260 19370630   15.344
260 19370731   16.279
260 19370831   16.991
260 19370930   13.237
260 19371031   11.018
260 19371130    4.551
260 19371231    1.656
260 19380131    3.861
260 19380228     3.47
260 19380331    7.554
260 19380430    6.515
260 19380531    11.05
260 19380630   15.029
260 19380731   15.752
260 19380831   17.494
260 19380930   14.823
260 19381031     9.61
260 19381130    8.656
260 19381231     .449
260 19390131    4.134
260 19390228    3.573
260 19390331    4.314
260 19390430    8.867
260 19390531   11.913
260 19390630   15.945
260 19390731    16.58
260 19390831   17.196
260 19390930   14.945
260 19391031    7.712
260 19391130    7.308
260 19391231    1.048
260 19400131   -5.667
260 19400228   -1.169
260 19400331    5.006
260 19400430    8.642
260 19400531   13.128
260 19400630    16.24
260 19400731   15.398
260 19400831   14.801
260 19400930   12.787
260 19401031    8.988
260 19401130    6.707
260 19401231     .824
260 19410131   -2.665
260 19410228    1.653
260 19410331    4.554
260 19410430    6.408
260 19410531    9.572
260 19410630   16.486
260 19410731   18.832
260 19410831   14.639
260 19410930   14.266
260 19411031    9.842
260 19411130    4.136
260 19411231    4.794
260 19420131   -5.276
260 19420228   -4.134
260 19420331    2.511
260 19420430    8.937
260 19420531   12.074
260 19420630   14.035
260 19420731   15.628
260 19420831   17.496
260 19420930   14.572
260 19421031   11.999
260 19421130    5.638
260 19421231    4.325
260 19430131    2.539
260 19430228    4.533
260 19430331    6.193
260 19430430   10.136
260 19430531    13.36
260 19430630   14.064
260 19430731   16.772
260 19430831   16.401
260 19430930   13.281
260 19431031   10.553
260 19431130    4.701
260 19431231    1.385
260 19440131    5.025
260 19440228    1.917
260 19440331    3.431
260 19440430    9.141
260 19440531   11.482
260 19440630   13.696
260 19440731   16.465
260 19440831   18.903
260 19440930   13.006
260 19441031    9.639
260 19441130    6.346
260 19441231    2.568
260 19450131   -1.724
260 19450228    6.095
260 19450331    7.127
260 19450430    9.887
260 19450531   13.539
260 19450630   15.612
260 19450731   17.399
260 19450831   16.028
260 19450930   14.368
260 19451031   11.631
260 19451130    4.888
260 19451231    3.312
260 19460131     .046
260 19460228    4.676
260 19460331    4.003
260 19460430    9.919
260 19460531   12.808
260 19460630   13.557
260 19460731   17.046
260 19460831    15.34
260 19460930   14.334
260 19461031    9.443
260 19461130    6.487
260 19461231     -.26
260 19470131   -1.607
260 19470228   -5.361
260 19470331    3.079
260 19470430    8.648
260 19470531   14.998
260 19470630   17.126
260 19470731   18.423
260 19470831    19.38
260 19470930   16.653
260 19471031    9.461
260 19471130     7.12
260 19471231    4.232
260 19480131     4.96
260 19480228    3.102
260 19480331    6.527
260 19480430     9.67
260 19480531   12.664
260 19480630   14.915
260 19480731   16.192
260 19480831   16.044
260 19480930   14.285
260 19481031    9.873
260 19481130    4.885
260 19481231    3.541
260 19490131    3.543
260 19490228    3.865
260 19490331    3.861
260 19490430   10.046
260 19490531   11.266
260 19490630   14.064
260 19490731   17.056
260 19490831   16.707
260 19490930   17.014
260 19491031   11.575
260 19491130    5.221
260 19491231    4.492
260 19500131     .883
260 19500228    5.557
260 19500331    6.308
260 19500430    7.341
260 19500531   12.736
260 19500630   16.933
260 19500731   16.913
260 19500831   16.726
260 19500930   13.303
260 19501031    9.203
260 19501130    5.698
260 19501231   -1.287
260 19510131    3.817
260 19510228    3.884
260 19510331     3.85
260 19510430     7.04
260 19510531   12.271
260 19510630   15.205
260 19510731   16.655
260 19510831   16.167
260 19510930    15.29
260 19511031    8.648
260 19511130    8.443
260 19511231    4.357
260 19520131    2.396
260 19520228    2.315
260 19520331     4.83
260 19520430   10.204
260 19520531   13.161
260 19520630   14.841
260 19520731   17.029
260 19520831   16.676
260 19520930   11.446
260 19521031    8.094
260 19521130    2.875
260 19521231    1.393
260 19530131    1.194
260 19530228    2.282
260 19530331    4.786
260 19530430    8.364
260 19530531   12.819
260 19530630   15.588
260 19530731    16.75
260 19530831   16.271
260 19530930   13.672
260 19531031   11.208
260 19531130    7.068
260 19531231    5.326
260 19540131     .089
260 19540228    -.413
260 19540331    5.795
260 19540430    6.601
260 19540531   12.856
260 19540630   15.033
260 19540731    14.23
260 19540831   15.624
260 19540930   13.401
260 19541031   11.803
260 19541130     6.63
260 19541231    5.393
260 19550131     .065
260 19550228     .071
260 19550331    1.863
260 19550430    8.314
260 19550531    9.928
260 19550630   14.318
260 19550731    17.51
260 19550831   17.891
260 19550930   14.258
260 19551031    9.104
260 19551130    6.449
260 19551231    4.586
260 19560131    2.092
260 19560228   -6.803
260 19560331    5.371
260 19560430    5.607
260 19560531   12.145
260 19560630   12.868
260 19560731   16.397
260 19560831   13.995
260 19560930   14.681
260 19561031    9.634
260 19561130    4.965
260 19561231    5.312
260 19570131    3.591
260 19570228    5.065
260 19570331    8.317
260 19570430    8.412
260 19570531   10.255
260 19570630   16.317
260 19570731    17.54
260 19570831   15.561
260 19570930   12.878
260 19571031   10.695
260 19571130    6.332
260 19571231    2.877
260 19580131    2.028
260 19580228    3.679
260 19580331    2.204
260 19580430    6.309
260 19580531   12.205
260 19580630   14.738
260 19580731   16.597
260 19580831   17.199
260 19580930   15.739
260 19581031    10.94
260 19581130    4.953
260 19581231    4.633
260 19590131     1.58
260 19590228     .609
260 19590331    6.952
260 19590430    9.762
260 19590531   13.384
260 19590630   16.039
260 19590731   18.413
260 19590831    17.75
260 19590930   15.487
260 19591031   11.118
260 19591130     4.94
260 19591231    4.281
260 19600131    2.711
260 19600228    3.054
260 19600331    5.575
260 19600430    8.933
260 19600531   12.976
260 19600630   16.275
260 19600731   15.356
260 19600831   15.733
260 19600930   13.604
260 19601031   10.637
260 19601130    7.444
260 19601231    3.029
260 19610131    1.908
260 19610228    6.193
260 19610331    7.032
260 19610430   10.403
260 19610531    10.99
260 19610630   15.434
260 19610731   15.505
260 19610831    15.93
260 19610930    16.56
260 19611031   11.306
260 19611130    4.595
260 19611231    1.558
260 19620131    3.389
260 19620228    2.728
260 19620331    1.907
260 19620430    7.962
260 19620531    9.934
260 19620630   13.681
260 19620731   14.627
260 19620831   15.213
260 19620930   12.956
260 19621031   10.731
260 19621130    4.133
260 19621231    -.745
260 19630131    -5.26
260 19630228   -3.283
260 19630331     4.53
260 19630430    8.962
260 19630531   10.903
260 19630630   15.605
260 19630731   16.182
260 19630831   15.149
260 19630930   13.787
260 19631031    9.583
260 19631130    8.209
260 19631231   -1.211
260 19640131     .554
260 19640228    3.396
260 19640331    2.612
260 19640430    8.671
260 19640531   14.231
260 19640630   15.307
260 19640731   16.762
260 19640831    15.94
260 19640930   14.015
260 19641031    7.854
260 19641130    6.269
260 19641231    2.302
260 19650131    2.666
260 19650228    2.053
260 19650331    4.272
260 19650430     7.63
260 19650531   11.803
260 19650630   14.657
260 19650731   14.827
260 19650831   15.223
260 19650930   12.736
260 19651031    9.882
260 19651130    2.609
260 19651231    4.379
260 19660131     .283
260 19660228    4.244
260 19660331     5.15
260 19660430    8.315
260 19660531   12.825
260 19660630    16.61
260 19660731   15.351
260 19660831   15.681
260 19660930   13.703
260 19661031   10.946
260 19661130    4.249
260 19661231    4.346
260 19670131    3.022
260 19670228    5.087
260 19670331    6.692
260 19670430    7.329
260 19670531   12.603
260 19670630    14.34
260 19670731    18.15
260 19670831   16.422
260 19670930   14.077
260 19671031   11.688
260 19671130    4.994
260 19671231    3.316
260 19680131    1.972
260 19680228    1.429
260 19680331    6.091
260 19680430    9.219
260 19680531   10.931
260 19680630   15.338
260 19680731   16.246
260 19680831   17.089
260 19680930   14.381
260 19681031   11.616
260 19681130    4.837
260 19681231    -.271
260 19690131    4.286
260 19690228    -.167
260 19690331     2.19
260 19690430    7.812
260 19690531   12.811
260 19690630   15.126
260 19690731   18.086
260 19690831   17.634
260 19690930   14.693
260 19691031   12.672
260 19691130    6.342
260 19691231   -1.785
260 19700131     .509
260 19700228     1.03
260 19700331    2.911
260 19700430    6.044
260 19700531   13.033
260 19700630   17.525
260 19700731   15.655
260 19700831   16.896
260 19700930   14.296
260 19701031   10.613
260 19701130    7.434
260 19701231    2.418
260 19710131    2.206
260 19710228     3.73
260 19710331    2.671
260 19710430    7.986
260 19710531   13.684
260 19710630   13.845
260 19710731   17.166
260 19710831   17.066
260 19710930   13.198
260 19711031    10.38
260 19711130    5.648
260 19711231    5.353
260 19720131     .447
260 19720228    3.528
260 19720331     6.15
260 19720430    7.644
260 19720531   11.721
260 19720630   13.353
260 19720731   17.155
260 19720831   15.394
260 19720930   11.786
260 19721031    8.917
260 19721130    5.883
260 19721231    3.191
260 19730131    2.768
260 19730228    2.806
260 19730331     5.23
260 19730430    5.997
260 19730531   11.898
260 19730630   15.936
260 19730731    16.97
260 19730831   17.602
260 19730930   14.802
260 19731031    8.665
260 19731130    5.022
260 19731231    2.651
260 19740131    5.106
260 19740228     4.53
260 19740331    5.526
260 19740430    9.052
260 19740531   11.587
260 19740630   14.715
260 19740731   15.311
260 19740831    16.33
260 19740930   12.611
260 19741031    6.883
260 19741130    6.424
260 19741231    7.166
260 19750131    6.111
260 19750228    3.004
260 19750331    4.602
260 19750430    7.374
260 19750531   11.025
260 19750630   15.003
260 19750731   17.726
260 19750831   19.807
260 19750930    15.13
260 19751031    8.404
260 19751130     5.16
260 19751231    3.446
260 19760131    4.068
260 19760228    2.807
260 19760331    2.923
260 19760430    7.377
260 19760531    13.22
260 19760630   17.919
260 19760731    19.26
260 19760831   17.909
260 19760930   13.685
260 19761031   11.077
260 19761130    6.789
260 19761231    1.612
260 19770131    2.877
260 19770228    4.848
260 19770331    6.996
260 19770430    6.596
260 19770531   11.858
260 19770630   14.518
260 19770731   16.904
260 19770831   16.037
260 19770930   13.331
260 19771031   11.444
260 19771130    6.758
260 19771231    4.908
260 19780131    2.895
260 19780228     .968
260 19780331    6.512
260 19780430    6.818
260 19780531   12.076
260 19780630   14.954
260 19780731    15.31
260 19780831   15.274
260 19780930   13.667
260 19781031   10.801
260 19781130    6.227
260 19781231    1.665
260 19790131   -3.319
260 19790228   -1.001
260 19790331    4.604
260 19790430      7.7
260 19790531   11.391
260 19790630   14.862
260 19790731   15.834
260 19790831    15.48
260 19790930   13.819
260 19791031    10.79
260 19791130    5.525
260 19791231    5.316
260 19800131     .074
260 19800228     4.74
260 19800331    4.619
260 19800430    7.886
260 19800531   12.219
260 19800630   14.928
260 19800731   15.714
260 19800831   16.904
260 19800930   15.194
260 19801031    9.341
260 19801130    4.841
260 19801231    3.466
260 19810131    2.647
260 19810228    1.447
260 19810331    8.057
260 19810430    8.231
260 19810531   13.195
260 19810630    14.29
260 19810731   16.235
260 19810831   16.632
260 19810930   14.607
260 19811031    8.433
260 19811130     6.64
260 19811231    -.796
260 19820131     .987
260 19820228     2.66
260 19820331     5.12
260 19820430    7.533
260 19820531   12.781
260 19820630   16.559
260 19820731   18.828
260 19820831   17.134
260 19820930   15.519
260 19821031   11.006
260 19821130    8.059
260 19821231    3.299
260 19830131    6.073
260 19830228     .799
260 19830331    5.654
260 19830430    8.436
260 19830531   10.548
260 19830630   16.298
260 19830731   20.027
260 19830831   18.056
260 19830930   14.131
260 19831031   10.296
260 19831130    6.051
260 19831231    3.672
260 19840131     3.34
260 19840228     1.88
260 19840331    3.879
260 19840430    7.768
260 19840531   10.489
260 19840630   13.694
260 19840731   15.803
260 19840831   18.042
260 19840930    13.44
260 19841031   11.604
260 19841130     8.08
260 19841231    4.229
260 19850131   -3.145
260 19850228    -.697
260 19850331    4.062
260 19850430     8.46
260 19850531    13.12
260 19850630   13.669
260 19850731   17.318
260 19850831   15.825
260 19850930   14.315
260 19851031   10.193
260 19851130    2.552
260 19851231    5.641
260 19860131    2.296
260 19860228   -3.708
260 19860331    4.109
260 19860430    6.082
260 19860531   13.225
260 19860630   16.348
260 19860731    17.12
260 19860831   15.511
260 19860930   11.478
260 19861031   11.347
260 19861130    7.814
260 19861231    5.011
260 19870131   -2.825
260 19870228    2.008
260 19870331    2.215
260 19870430   10.645
260 19870531   10.105
260 19870630    13.69
260 19870731   16.745
260 19870831   16.142
260 19870930   14.693
260 19871031   10.717
260 19871130    6.723
260 19871231    4.284
260 19880131    5.761
260 19880228    4.459
260 19880331    4.981
260 19880430      8.6
260 19880531   14.291
260 19880630   14.739
260 19880731   15.915
260 19880831    16.56
260 19880930   13.879
260 19881031   10.842
260 19881130    6.049
260 19881231    6.915
260 19890131    4.377
260 19890228    5.242
260 19890331    8.145
260 19890430    6.832
260 19890531   14.564
260 19890630   15.665
260 19890731    18.02
260 19890831   17.146
260 19890930   15.471
260 19891031    12.26
260 19891130    5.468
260 19891231    4.724
260 19900131    5.585
260 19900228    7.523
260 19900331    8.373
260 19900430    8.801
260 19900531   13.853
260 19900630   14.934
260 19900731   16.845
260 19900831   18.413
260 19900930   13.003
260 19901031    11.92
260 19901130    6.097
260 19901231    4.065
260 19910131    3.087
260 19910228     -.86
260 19910331    8.665
260 19910430    8.437
260 19910531    9.926
260 19910630   12.646
260 19910731   18.912
260 19910831   17.902
260 19910930   14.932
260 19911031   10.113
260 19911130    5.206
260 19911231    3.831
260 19920131    2.612
260 19920228    4.834
260 19920331    6.767
260 19920430    8.616
260 19920531   15.525
260 19920630   17.151
260 19920731   18.159
260 19920831   17.736
260 19920930   14.548
260 19921031    7.899
260 19921130    7.898
260 19921231    3.585
260 19930131    4.959
260 19930228    2.338
260 19930331    5.695
260 19930430   11.051
260 19930531   14.218
260 19930630   15.784
260 19930731   16.024
260 19930831   15.127
260 19930930   12.988
260 19931031    8.869
260 19931130    2.078
260 19931231    4.991
260 19940131    5.077
260 19940228    1.379
260 19940331    7.216
260 19940430    8.067
260 19940531   12.261
260 19940630   14.933
260 19940731   21.251
260 19940831   17.471
260 19940930   13.503
260 19941031    9.251
260 19941130    10.08
260 19941231    5.193
260 19950131    3.725
260 19950228    6.578
260 19950331    5.396
260 19950430    9.095
260 19950531   12.718
260 19950630   14.642
260 19950731   20.012
260 19950831   19.589
260 19950930   14.115
260 19951031   12.576
260 19951130    6.709
260 19951231    -.988
260 19960131    -.199
260 19960228      .45
260 19960331    3.104
260 19960430    9.281
260 19960531    10.62
260 19960630   15.561
260 19960731   16.149
260 19960831   17.198
260 19960930   12.381
260 19961031   10.665
260 19961130    5.758
260 19961231     .491
260 19970131   -1.303
260 19970228    6.129
260 19970331    7.893
260 19970430    7.727
260 19970531   12.655
260 19970630   15.847
260 19970731   17.293
260 19970831   20.442
260 19970930   14.197
260 19971031    9.629
260 19971130    6.547
260 19971231    4.884
260 19980131    4.631
260 19980228    6.246
260 19980331    7.447
260 19980430    9.306
260 19980531   14.831
260 19980630   15.702
260 19980731   16.192
260 19980831   16.392
260 19980930   14.939
260 19981031     9.75
260 19981130    3.569
260 19981231    4.453
260 19990131    5.094
260 19990228    2.948
260 19990331    7.223
260 19990430    9.731
260 19990531   14.094
260 19990630   14.858
260 19990731   19.023
260 19990831   17.391
260 19990930   17.241
260 19991031   10.517
260 19991130    6.598
260 19991231    4.662
260 20000131    4.219
260 20000228    5.745
260 20000331    6.687
260 20000430    9.877
260 20000531   14.622
260 20000630   15.893
260 20000731   15.409
260 20000831   17.306
260 20000930   15.707
260 20001031   11.209
260 20001130     7.68
260 20001231    4.958
260 20010131    2.495
260 20010228    4.357
260 20010331    4.834
260 20010430    8.172
260 20010531   14.031
260 20010630   15.046
260 20010731   18.421
260 20010831   18.373
260 20010930   13.322
260 20011031   14.108
260 20011130    7.009
260 20011231    2.747
260 20020131    4.307
260 20020228    7.002
260 20020331     7.11
260 20020430    9.218
260 20020531   13.259
260 20020630   16.391
260 20020731   17.439
260 20020831   18.485
260 20020930   14.441
260 20021031    9.349
260 20021130    7.754
260 20021231    2.778
260 20030131     2.38
260 20030228    1.701
260 20030331    7.203
260 20030430    9.817
260 20030531   13.067
260 20030630   17.727
260 20030731   18.722
260 20030831   19.142
260 20030930   13.807
260 20031031    7.351
260 20031130    7.883
260 20031231    3.887
260 20040131    3.473
260 20040228    4.706
260 20040331    5.808
260 20040430   10.239
260 20040531   12.179
260 20040630   15.409
260 20040731   16.589
260 20040831   18.728
260 20040930   15.062
260 20041031   11.195
260 20041130    6.176
260 20041231    3.124
260 20050131    5.139
260 20050228    2.274
260 20050331    6.426
260 20050430   10.271
260 20050531   12.459
260 20050630   16.645
260 20050731   17.539
260 20050831   16.078
